Key,Id_Issue,Parent_Id_Issue,Summary,Type,Status,Sprint_Name,Story_Points,Time_Original_Estimate,Time_Spent
TD-45,10081,10044,Presentación de HU's con PO y stakeholders,Sub-task,To Do,,0.0,1.0,0.0
TD-44,10080,10044,"Revisar con los equipos de DEV, QA la solución",Sub-task,To Do,,0.0,1.0,0.0
TD-43,10079,10044,Solicitar y atender Peer Review de Líder Funcional ,Sub-task,To Do,,0.0,1.0,0.0
TD-42,10078,10044,Realizar Self Review de Analista,Sub-task,To Do,,0.0,1.0,0.0
TD-41,10077,10044,Obtener y documentar el To Be (Sesiones con el cliente para establecer la solución ),Sub-task,To Do,,0.0,1.0,0.0
TD-40,10076,10044,Entender Requerimientos del cliente (Sesiones de explicación de DHL),Sub-task,To Do,,0.0,1.0,0.0
TD-39,10075,10043,Obtener el tamaño funcional,Sub-task,To Do,,0.0,1.0,0.0
TD-38,10074,10043,Obtener VoBo del Cliente y respaldar en sharepoint,Sub-task,To Do,,0.0,1.0,0.0
TD-37,10073,10043,Presentación de HU's con PO y stakeholders,Sub-task,To Do,,0.0,1.0,0.0
TD-36,10072,10043,"Revisar con los equipos de DEV, QA la solución",Sub-task,To Do,,0.0,1.0,0.0
TD-35,10071,10043,Solicitar y atender Peer Review de Líder Funcional ,Sub-task,To Do,,0.0,1.0,0.0
TD-34,10070,10043,Realizar Self Review de Analista,Sub-task,To Do,,0.0,1.0,0.0
TD-33,10069,10043,Obtener y documentar el To Be (Sesiones con el cliente para establecer la solución ),Sub-task,To Do,,0.0,1.0,0.0
TD-32,10068,10043,Entender Requerimientos del cliente (Sesiones de explicación de DHL),Sub-task,To Do,,0.0,1.0,0.0
TD-31,10067,10042,Obtener el tamaño funcional,Sub-task,To Do,,0.0,1.0,0.0
TD-30,10066,10042,Obtener VoBo del Cliente y respaldar en sharepoint,Sub-task,To Do,,0.0,1.0,0.0
TD-29,10065,10042,Presentación de HU's con PO y stakeholders,Sub-task,To Do,,0.0,1.0,0.0
TD-28,10064,10042,"Revisar con los equipos de DEV, QA la solución",Sub-task,To Do,,0.0,1.0,0.0
TD-27,10063,10042,Solicitar y atender Peer Review de Líder Funcional ,Sub-task,To Do,,0.0,1.0,0.0
TD-26,10062,10042,Realizar Self Review de Analista,Sub-task,To Do,,0.0,1.0,0.0
TD-25,10061,10042,Obtener y documentar el To Be (Sesiones con el cliente para establecer la solución ),Sub-task,To Do,,0.0,1.0,0.0
TD-24,10060,10042,Entender Requerimientos del cliente (Sesiones de explicación de DHL),Sub-task,To Do,,0.0,1.0,0.0
TD-23,10059,10041,Obtener el tamaño funcional,Sub-task,To Do,,0.0,1.0,0.0
TD-22,10058,10041,Obtener VoBo del Cliente y respaldar en sharepoint,Sub-task,To Do,,0.0,1.0,0.0
TD-21,10057,10041,Presentación de HU's con PO y stakeholders,Sub-task,To Do,,0.0,1.0,0.0
TD-20,10056,10041,"Revisar con los equipos de DEV, QA la solución",Sub-task,To Do,,0.0,1.0,0.0
TD-19,10055,10041,Solicitar y atender Peer Review de Líder Funcional ,Sub-task,To Do,,0.0,1.0,0.0
TD-18,10054,10041,Realizar Self Review de Analista,Sub-task,To Do,,0.0,1.0,0.0
TD-17,10053,10041,Obtener y documentar el To Be (Sesiones con el cliente para establecer la solución ),Sub-task,To Do,,0.0,1.0,0.0
TD-16,10052,10041,Entender Requerimientos del cliente (Sesiones de explicación de DHL),Sub-task,To Do,,0.0,1.0,0.0
TD-15,10051, ,HU-Fee Liberación-01.03 ,Story,To Do,TD Sprint 2,13.0,0.0,0.0
TD-14,10050, ,HU-Fee Liberación-01.02 ,Story,To Do,TD Sprint 2,5.0,0.0,0.0
TD-13,10049, ,HU-Fee Liberación-01.01 ,Story,To Do,TD Sprint 2,13.0,0.0,0.0
TD-12,10048, ,[REF]HU-Fee Liberación-01.10 ,Task,To Do,,,0.0,0.0
TD-11,10047, ,[REF] HU-Fee Liberación-01.09,Task,To Do,,,0.0,0.0
TD-10,10046, ,[REF] HU-Fee Liberación-01.08 ,Task,To Do,,,0.0,0.0
TD-9,10045, ,[REF] HU-Fee Liberación-01.07 ,Task,To Do,,,0.0,0.0
TD-8,10044, ,[REF] Nota tecnica 2.4 Interfaz SAP,Task,To Do,,,0.0,0.0
TD-7,10043, ,[REF] HU-Fee Liberación-01.05,Task,To Do,,,0.0,0.0
TD-6,10042, ,[REF] HU-Fee Liberación-01.04 ,Task,To Do,,,0.0,0.0
TD-5,10041, ,[REF]HU-Fee Liberación-01.06 ,Task,To Do,,,0.0,0.0
TD-4,10040, ,bug prueba 2,Bug,CERRADO,TD Sprint 1,,0.0,2.0
TD-3,10039, ,bug prueba,Bug,CERRADO,,,0.0,0.0
TD-2,10038, ,Ejemplo,Story,Done,TD Sprint 1,5.0,0.0,3.0
TD-1,10037, ,Hola,Story,Done,TD Sprint 1,13.0,0.0,5.0
